iter	Passed	Remaining
393	9631	12369
394	9654	12342
395	9673	12311
396	9711	12304
397	9734	12278
398	9780	12280
399	9800	12250
400	9824	12225
401	9852	12205
402	9883	12189
403	9913	12171
404	9942	12152
405	9972	12134
406	10000	12113
407	10038	12104
408	10060	12077
409	10075	12041
410	10094	12010
411	10113	11979
412	10136	11953
413	10161	11928
414	10197	11917
415	10217	11888
416	10238	11858
417	10253	11823
418	10297	11821
419	10323	11798
420	10345	11770
421	10375	11752
422	10395	11723
423	10412	11689
424	10434	11662
425	10453	11631
426	10474	11603
427	10494	11573
428	10510	11539
429	10537	11518
430	10555	11486
431	10589	11472
432	10611	11444
433	10658	11444
434	10690	11427
435	10718	11407
436	10739	11378
437	10770	11360
438	10790	11331
439	10811	11302
440	10834	11276
441	10855	11248
442	10872	11216
443	10891	11185
444	10915	11160
445	10933	11129
446	10955	11103
447	10976	11074
448	10999	11048
449	11026	11026
450	11042	10993
451	11059	10961
452	11076	10929
453	11094	10898
454	11109	10865
455	11130	10837
456	11141	10800
457	11156	10766
458	11184	10745
459	11202	10715
460	11226	10691
461	11243	10659
462	11261	10629
463	11282	10601
464	11299	10570
465	11314	10537
466	11334	10509
467	11348	10475
468	11363	10442
469	11377	10409
470	11390	10375
471	11408	10345
472	11424	10313
473	11441	10283
474	11456	10250
475	11469	10216
476	11483	10183
477	11511	10162
478	11530	10134
479	11549	10106
480	11570	10078
481	11598	10058
482	11624	10035
483	11644	10008
484	11662	9979
485	11680	9949
486	11697	9919
487	11716	9891
488	11735	9863
489	11755	9835
490	11773	9807
491	11791	9778
492	11821	9759
493	11841	9732
494	11863	9706
495	11881	9677
496	11905	9654
497	11935	9634
498	11956	9608
499	11987	9590
500	12013	9567
501	12034	9541
502	12058	9517
503	12080	9492
504	12101	9465
505	12129	9444
506	12148	9416
507	12165	9387
508	12181	9357
509	12226	9349
510	12256	9329
511	12277	9303
512	12299	9278
513	12333	9262
514	12355	9236
515	12372	9207
516	12386	9176
517	12400	9145
518	12421	9118
519	12441	9091
520	12461	9065
521	12482	9038
522	12501	9011
523	12517	8982
524	12533	8952
525	12554	8926
526	12566	8894
527	12584	8866
528	12600	8837
529	12611	8804
530	12631	8778
531	12650	8750
532	12664	8720
533	12682	8692
534	12698	8663
535	12718	8636
536	12736	8609
537	12756	8583
538	12777	8557
539	12810	8540
540	12826	8511
541	12843	8483
542	12868	8460
543	12885	8432
544	12902	8404
545	12927	8381
546	12952	8358
547	12991	8344
548	13017	8322
549	13040	8298
550	13060	8272
551	13088	8251
552	13099	8219
553	13111	8189
554	13126	8159
555	13138	8129
556	13153	8100
557	13169	8071
558	13193	8048
559	13216	8024
560	13233	7996
561	13252	7970
562	13270	7943
563	13296	7921
564	13319	7897
565	13347	7876
566	13368	7851
567	13389	7826
568	13407	7799
569	13442	7782
570	13464	7757
571	13480	7730
572	13507	7708
573	13525	7681
574	13542	7654
575	13558	7626
576	13586	7605
577	13603	7578
578	13624	7553
579	13649	7531
580	13674	7508
581	13698	7484
582	13720	7460
583	13739	7434
584	13756	7407
585	13775	7381
586	13795	7356
587	13820	7333
588	13837	7306
589	13864	7284
590	13883	7258
591	13900	7231
592	13913	7203
593	13933	7177
594	13949	7150
595	13968	7124
596	13987	7099
597	14004	7072
598	14020	7045
599	14033	7016
600	14051	6990
601	14067	6963
602	14080	6935
603	14093	6906
604	14109	6879
605	14123	6851
606	14139	6824
607	14156	6798
608	14170	6771
609	14191	6746
610	14209	6720
611	14223	6693
612	14247	6670
613	14267	6645
614	14291	6622
615	14306	6595
616	14321	6568
617	14336	6542
618	14353	6515
619	14370	6490
620	14384	6462
621	14399	6435
622	14411	6407
623	14427	6381
624	14449	6357
625	14463	6330
626	14483	6306
627	14500	6280
628	14519	6255
629	14540	6231
630	14558	6206
631	14577	6181
632	14636	6173
633	14692	6164
634	14750	6155
635	14807	6146
636	14831	6123
637	14854	6100
638	14876	6076
639	14892	6050
640	14909	6024
641	14926	5998
642	14946	5974
643	14967	5949
644	14982	5923
645	14998	5897
646	15012	5870
647	15030	5845
648	15041	5817
649	15055	5790
650	15068	5763
651	15087	5738
652	15104	5713
653	15125	5689
654	15140	5663
655	15155	5637
656	15176	5613
657	15194	5588
658	15212	5563
659	15224	5536
660	15241	5510
661	15253	5484
662	15266	5457
663	15279	5430
664	15293	5404
665	15307	5378
666	15323	5352
667	15343	5328
668	15360	5303
669	15375	5277
670	15389	5252
671	15406	5227
672	15423	5202
673	15439	5177
674	15452	5150
675	15468	5125
676	15481	5099
677	15497	5074
678	15510	5048
679	15524	5022
680	15538	4996
681	15551	4971
682	15567	4945
683	15580	4920
684	15592	4894
685	15608	4869
686	15621	4843
687	15637	4818
688	15649	4792
689	15667	4768
690	15684	4743
691	15700	4719
692	15716	4694
693	15730	4669
694	15743	4643
695	15760	4619
696	15775	4594
697	15786	4568
698	15801	4543
699	15816	4519
700	15834	4495
701	15856	4472
702	15880	4450
703	15897	4426
704	15914	4401
705	15929	4377
706	15945	4352
707	15960	4328
708	15975	4303
709	15990	4279
710	16005	4254
711	16019	4229
712	16037	4206
713	16050	4181
714	16065	4156
715	16084	4133
716	16098	4108
717	16109	4083
718	16123	4058
719	16137	4034
720	16152	4010
721	16172	3987
722	16189	3963
723	16204	3939
724	16218	3914
725	16234	3891
726	16246	3866
727	16257	3841
728	16272	3816
729	16285	3792
730	16297	3767
731	16309	3743
732	16323	3718
733	16336	3694
734	16352	3670
735	16368	3647
736	16383	3623
737	16397	3599
738	16412	3575
739	16431	3552
740	16445	3528
741	16458	3504
742	16473	3480
743	16492	3458
744	16505	3434
745	16521	3410
746	16536	3387
747	16551	3363
748	16565	3339
749	16579	3315
750	16596	3292
751	16610	3269
752	16622	3245
753	16638	3221
754	16651	3198
755	16666	3174
756	16683	3151
757	16698	3128
758	16710	3104
759	16723	3080
760	16734	3056
761	16746	3032
762	16758	3008
763	16776	2986
764	16791	2963
765	16807	2940
766	16821	2916
767	16834	2893
768	16850	2870
769	16863	2847
770	16875	2823
771	16889	2800
772	16901	2776
773	16918	2754
774	16930	2730
775	16941	2707
776	16956	2684
777	16967	2660
778	16983	2638
779	16994	2614
780	17007	2591
781	17019	2568
782	17031	2544
783	17043	2521
784	17056	2498
785	17071	2476
786	17083	2452
787	17099	2430
788	17111	2407
789	17127	2384
790	17143	2362
791	17159	2339
792	17173	2317
793	17188	2294
794	17200	2271
795	17214	2249
796	17232	2226
797	17244	2204
798	17260	2181
799	17272	2159
800	17288	2136
801	17302	2114
802	17314	2091
803	17325	2068
804	17341	2046
805	17354	2024
806	17370	2001
807	17384	1979
808	17396	1956
809	17409	1934
810	17421	1911
811	17435	1889
812	17464	1868
813	17478	1846
814	17491	1824
815	17502	1801
816	17518	1779
817	17530	1757
818	17544	1735
819	17557	1712
820	17569	1690
821	17582	1668
822	17598	1646
823	17614	1624
824	17626	1602
825	17638	1580
826	17651	1558
827	17665	1536
828	17683	1514
829	17696	1492
830	17711	1470
831	17724	1448
832	17735	1426
833	17751	1404
834	17768	1383
835	17784	1361
836	17796	1339
837	17813	1317
838	17827	1296
839	17842	1274
840	17857	1252
841	17871	1231
842	17882	1209
843	17893	1187
844	17907	1165
845	17923	1144
846	17935	1122
847	17947	1100
848	17965	1079
849	17980	1057
850	17997	1036
851	18015	1014
852	18030	993
853	18045	971
854	18058	950
855	18070	928
856	18085	907
857	18100	886
858	18112	864
859	18125	843
860	18139	821
861	18151	800
862	18165	778
863	18181	757
864	18194	736
865	18213	715
866	18226	693
867	18242	672
868	18255	651
869	18270	630
870	18292	609
871	18310	587
872	18322	566
873	18334	545
874	18347	524
875	18362	503
876	18376	481
877	18388	460
878	18404	439
879	18419	418
880	18434	397
881	18452	376
882	18473	355
883	18489	334
884	18505	313
885	18518	292
886	18531	271
887	18545	250
888	18560	229
889	18578	208
890	18592	187
891	18603	166
892	18617	145
893	18632	125
894	18647	104
895	18661	83
896	18675	62
897	18688	41
898	18701	20
899	18718	0
