iter	MultiClass
0	1.474455503
1	1.264274831
2	1.088619223
3	0.9866842212
4	0.9267731279
5	0.8446844327
6	0.7775757262
7	0.7200640491
8	0.6894381498
9	0.6409017643
10	0.6112033483
11	0.5696198882
12	0.5451793064
13	0.5251471426
14	0.4971147838
15	0.4850590141
16	0.4753948804
17	0.4552127007
18	0.4497745464
19	0.436780052
20	0.4254457022
21	0.4097319943
22	0.3857286162
23	0.3798778694
24	0.3621330891
25	0.3468912385
26	0.3389351809
27	0.3300368996
28	0.3177002415
29	0.310911766
30	0.3045486035
31	0.3002563348
32	0.2944772892
33	0.2896290853
34	0.2803102665
35	0.2738047007
36	0.2673385601
37	0.2536885801
38	0.2459635695
39	0.2391673804
40	0.2351275922
41	0.231893751
42	0.2294703805
43	0.2242287953
44	0.2175387032
45	0.2149615001
46	0.2081152606
47	0.2054581788
48	0.2005921661
49	0.1949286356
50	0.1886830077
51	0.1874449072
52	0.1843288627
53	0.1818303858
54	0.1782595936
55	0.1732026061
56	0.1711557746
57	0.1681372799
58	0.1639967604
59	0.1614483338
60	0.1591202866
61	0.1555252514
62	0.1538388662
63	0.1505426252
64	0.1497104349
65	0.1477102921
66	0.1461648508
67	0.1440807644
68	0.1428286297
69	0.1412742278
70	0.1378965127
71	0.1363222719
72	0.1333858047
73	0.1317349989
74	0.1291277169
75	0.1267313497
76	0.1254648329
77	0.1243684334
78	0.1216500778
79	0.1201546189
80	0.1190133543
81	0.1176800596
82	0.1166995169
83	0.1157199304
84	0.1140242632
85	0.1127570284
86	0.1116492371
87	0.1097080699
88	0.1089837212
89	0.1079418343
90	0.1058100344
91	0.1037597034
92	0.1031375843
93	0.1015500437
94	0.1012471033
95	0.1003496044
96	0.09907922906
97	0.09798475455
98	0.09688325668
99	0.09603927835
100	0.09542558987
101	0.09508377593
102	0.09408061149
103	0.09264831812
104	0.09198473203
105	0.09135560173
106	0.09030214894
107	0.08984792046
108	0.08851261937
109	0.08807884323
110	0.08741703944
111	0.0862069083
112	0.08486937803
113	0.08456024553
114	0.08437712299
115	0.08349538008
116	0.08237366755
117	0.08140803954
118	0.08079069141
119	0.07994531983
120	0.07963363535
121	0.07839827902
122	0.07763502439
123	0.07677370341
124	0.07629175714
125	0.07458031916
126	0.07359337368
127	0.07297739069
128	0.07246098463
129	0.0712785985
130	0.07062043968
131	0.07029164972
132	0.06964038347
133	0.06934169156
134	0.06876076391
135	0.06844861907
136	0.06820355795
137	0.06774265966
138	0.06711258133
139	0.06680987095
140	0.06649799522
141	0.06626343818
142	0.0658852244
143	0.06544565324
144	0.06456617133
145	0.06405565319
146	0.06351378346
147	0.06332326178
148	0.06259779095
149	0.06226377728
150	0.06161008058
151	0.06128026683
152	0.0608885373
153	0.06058585466
154	0.06003119502
155	0.05965731516
156	0.05935797046
157	0.05911547308
158	0.05884743696
159	0.0584862251
160	0.05801493999
161	0.05774770957
162	0.0574598919
163	0.05707573063
164	0.05670014651
165	0.05570617895
166	0.05524519805
167	0.05458064725
168	0.05350745214
169	0.0532890394
170	0.05270481313
171	0.0523607472
172	0.05202926394
173	0.05189914965
174	0.0516297004
175	0.05094216688
176	0.05046777306
177	0.04992560223
178	0.04969926587
179	0.04951407299
180	0.04934797509
181	0.04905674542
182	0.04892294576
183	0.04864175319
184	0.04838951347
185	0.0480530407
186	0.04770102472
187	0.04724163679
188	0.04692278985
189	0.0467692628
190	0.04662594608
191	0.04634761073
192	0.04588402049
193	0.04555666799
194	0.04528781677
195	0.04486559242
196	0.04453517401
197	0.04432285729
198	0.0440141617
199	0.04368544197
200	0.04340906299
201	0.04322534256
202	0.04278675038
203	0.04190039901
204	0.04170107859
205	0.04131912421
206	0.04125326247
